vehicle_id,mileage,engine_temp,tire_pressure,battery_health,oil_level,brake_wear,days_since_last_maintenance,maintenance_status
92,111931.0,113.9,28.8,77.8,80.7,22.5,88,2
89,98855.0,97.9,40.0,41.1,25.4,53.4,202,2
62,120320.0,113.5,27.8,72.5,73.9,69.6,239,2
97,15805.0,88.6,27.2,45.3,99.8,77.4,267,2
1,5336.0,100.7,26.5,41.6,82.4,4.3,12,1
27,76287.0,96.2,33.7,87.5,43.2,42.8,136,1
62,58139.0,86.0,34.4,55.5,42.2,12.2,314,2
77,69292.0,93.5,30.5,60.4,73.4,43.1,172,1
3,148738.0,95.1,33.0,43.8,91.7,43.4,229,2
70,145612.0,80.0,36.8,50.8,66.2,49.8,197,2
72,141347.0,85.8,37.3,85.9,62.2,89.3,242,2
27,117576.0,109.6,39.4,69.6,32.8,80.5,42,2
9,53226.0,115.8,37.4,92.8,77.2,63.7,329,2
62,61820.0,88.0,33.5,63.8,76.2,88.5,278,2
37,82442.0,85.3,27.7,56.1,97.4,67.8,78,1
97,124580.0,79.8,26.5,60.9,44.0,81.9,278,2
51,10307.0,103.9,25.8,82.8,80.5,56.4,231,1
44,63645.0,86.2,35.0,73.3,54.7,52.5,100,1
24,12393.0,119.4,37.1,94.3,64.7,72.4,161,1
79,77199.0,86.3,32.6,76.1,85.3,2.0,143,1
59,134835.0,89.7,25.8,69.6,37.8,69.0,108,2
32,117373.0,100.2,33.0,87.1,47.4,93.5,232,2
96,34176.0,110.1,39.0,96.9,81.9,71.4,110,1
88,146399.0,93.5,34.0,61.4,65.6,3.7,231,1
52,100103.0,91.1,37.1,55.0,27.4,37.8,237,2
62,1564.0,119.8,37.0,77.0,54.4,81.0,196,2
58,38312.0,70.5,39.0,69.9,66.9,95.9,272,1
52,39107.0,114.8,36.6,99.4,92.8,37.0,85,0
12,10388.0,77.5,36.2,67.7,35.1,84.1,294,2
39,143974.0,109.3,28.5,44.5,84.5,86.4,40,2
2,71738.0,100.9,25.9,98.6,30.4,12.3,47,1
3,134372.0,87.1,32.8,90.6,39.4,84.6,76,2
56,48332.0,113.7,26.9,50.7,39.5,32.4,177,2
81,18785.0,70.6,39.4,94.3,90.2,59.3,256,1
59,71150.0,81.3,29.3,60.4,35.9,53.9,116,2
2,17093.0,98.3,37.8,62.6,83.0,66.3,18,1
2,72902.0,87.6,30.8,94.4,56.9,74.0,58,1
92,138045.0,100.5,29.8,71.8,99.9,44.1,195,2
54,78115.0,71.2,39.0,48.3,87.1,88.8,106,2
87,92475.0,75.8,30.4,62.1,79.2,80.9,283,2
96,23496.0,76.4,30.9,83.3,89.7,78.5,33,0
97,6560.0,79.5,26.6,50.5,70.7,45.8,294,1
1,16621.0,93.0,35.1,75.4,87.5,3.8,250,1
19,89780.0,107.6,29.3,81.7,40.9,49.2,125,2
2,14252.0,115.3,33.8,60.6,27.8,89.8,338,2
53,56399.0,111.8,33.9,81.6,69.3,19.0,105,1
44,82514.0,79.8,35.8,93.1,54.8,98.3,179,1
90,58298.0,92.1,36.2,68.3,54.1,80.8,109,2
32,24553.0,80.0,32.7,63.0,62.1,71.0,227,1
70,41069.0,83.2,30.0,55.1,48.9,67.7,120,1
32,139248.0,95.2,37.6,76.3,70.1,58.7,106,2
68,101397.0,73.4,29.6,92.8,22.4,72.1,130,2
55,74407.0,80.9,32.6,59.5,97.6,42.2,22,1
75,1907.0,116.8,31.0,63.8,94.0,84.5,144,2
56,148862.0,93.3,37.8,64.4,94.8,69.6,326,2
17,100718.0,92.3,31.5,73.6,49.2,77.1,153,2
38,47538.0,70.7,30.8,53.7,62.6,79.2,106,1
24,131890.0,82.4,35.3,89.3,96.3,9.2,145,1
69,38765.0,113.3,34.0,57.7,92.2,5.6,251,2
98,81602.0,78.2,26.6,82.3,83.2,80.1,301,2
70,95411.0,90.8,32.6,70.8,52.6,25.9,69,1
86,33160.0,70.7,36.0,75.2,65.1,58.2,30,0
11,146760.0,93.9,39.9,50.8,83.4,44.4,92,1
16,112229.0,71.1,34.4,84.1,41.8,2.2,136,1
97,83672.0,111.0,30.6,51.3,70.1,4.0,162,2
73,27089.0,111.2,28.4,46.8,86.2,82.7,80,2
59,8079.0,109.4,38.1,72.8,76.6,60.8,315,2
70,48009.0,84.2,37.2,82.6,58.4,52.4,75,0
80,112978.0,111.9,28.5,43.0,66.8,94.4,62,2
93,40400.0,97.1,28.0,44.2,99.1,17.3,99,1
3,80933.0,88.7,35.7,88.2,68.2,25.8,47,0
20,109192.0,101.3,29.7,88.5,82.8,75.7,73,2
59,16192.0,70.6,29.6,54.7,78.1,77.5,313,2
36,102795.0,77.1,27.3,76.9,76.1,40.5,191,2
19,13781.0,107.1,29.0,66.6,77.3,95.1,29,2
90,144769.0,82.2,31.4,78.0,56.4,93.8,156,2
67,73259.0,99.9,36.0,91.8,57.9,1.2,265,1
19,22601.0,89.3,30.0,44.8,57.4,17.2,255,1
20,51358.0,112.7,29.9,86.7,22.7,82.0,38,2
96,62012.0,117.6,29.3,69.6,39.3,33.5,54,2
71,113728.0,114.2,32.2,73.8,32.4,9.5,27,2
52,111514.0,83.5,27.7,79.2,90.9,78.5,117,2
33,91791.0,79.7,32.3,95.4,42.0,45.5,208,1
40,15890.0,93.7,35.6,43.4,31.1,49.2,74,1
39,22735.0,70.4,25.4,41.8,29.6,18.6,64,1
82,14064.0,71.3,25.1,50.7,76.0,66.1,336,2
1,86576.0,97.7,26.1,99.2,20.5,55.1,355,2
11,131571.0,96.0,33.0,82.9,57.7,20.7,99,1
92,65070.0,119.7,37.8,76.9,29.5,34.0,45,2
57,24127.0,80.1,25.1,42.8,88.0,59.7,315,2
89,83706.0,82.9,39.0,92.7,96.7,92.5,155,1
50,121763.0,75.7,26.6,88.8,96.7,92.0,239,2
23,111257.0,115.9,37.6,79.9,55.4,28.8,352,2
31,132218.0,108.9,32.2,60.3,71.6,73.6,258,2
94,41685.0,111.1,34.9,44.2,68.0,77.6,135,2
42,29093.0,115.1,32.7,74.8,48.0,80.9,197,2
99,131972.0,96.2,32.2,83.2,55.5,57.1,186,2
7,98634.0,92.6,37.5,45.7,25.1,1.1,115,2
16,46639.0,86.5,36.3,78.0,83.7,76.2,57,1
90,111352.0,99.5,32.3,57.2,39.3,10.7,69,2
60,122268.0,92.7,26.7,85.9,56.8,11.7,92,1
2,92247.0,92.6,26.7,72.4,58.4,60.6,228,2
1,103183.0,116.8,37.0,47.7,64.9,98.4,136,2
48,56289.0,119.2,32.9,71.6,85.4,24.3,104,1
12,80804.0,109.8,32.2,63.7,75.4,64.6,304,2
69,78624.0,107.8,35.2,50.8,73.0,30.4,338,2
37,127207.0,104.0,37.9,90.5,62.1,89.9,16,1
32,125995.0,78.3,34.4,40.7,27.7,59.4,53,2
9,124902.0,73.0,36.4,58.7,52.2,20.7,111,2
99,1655.0,104.5,36.5,40.8,96.6,26.2,171,1
19,112432.0,106.4,30.3,45.8,99.6,43.2,304,2
48,113801.0,72.3,29.1,57.8,78.4,12.2,143,2
80,101757.0,116.4,37.0,43.3,38.2,7.9,84,2
3,113440.0,74.6,30.7,75.8,28.2,68.0,11,2
20,126296.0,84.3,38.6,45.2,53.2,40.7,251,2
24,70548.0,103.6,26.0,82.1,88.5,72.6,215,2
54,75308.0,78.5,25.9,43.2,77.7,11.0,125,1
33,18707.0,72.8,38.9,43.6,90.7,61.0,97,1
24,57806.0,86.6,34.7,58.3,69.3,44.3,303,1
75,96505.0,108.3,30.7,93.8,30.4,5.8,27,1
72,117060.0,90.7,36.3,78.5,29.2,54.5,335,2
36,32581.0,102.6,35.1,86.2,23.8,8.3,265,1
38,20673.0,99.0,33.0,48.5,65.4,82.8,51,1
84,99456.0,71.1,26.5,90.0,39.4,63.2,142,2
99,282.0,119.4,37.2,40.5,78.8,55.7,131,2
89,26756.0,72.1,38.0,52.8,74.9,13.3,345,1
99,4361.0,118.4,27.6,77.0,45.4,28.7,206,2
25,25033.0,97.5,37.8,62.5,34.1,49.3,61,1
93,27198.0,118.2,38.2,99.1,28.2,63.3,362,2
18,58151.0,75.7,33.2,41.8,79.0,18.3,131,1
82,60349.0,94.5,34.8,99.9,56.0,0.9,40,0
66,131139.0,78.5,30.7,77.4,45.9,34.5,200,2
54,76516.0,72.5,29.2,73.5,88.5,48.3,98,1
35,108511.0,100.9,35.8,43.6,67.5,18.4,310,2
80,15621.0,80.4,37.9,56.4,61.4,49.2,283,1
61,33816.0,99.4,34.8,95.5,79.5,33.8,356,1
41,105442.0,75.6,32.7,61.3,85.2,45.5,46,1
33,7921.0,86.6,27.4,79.7,74.9,34.7,136,1
68,72990.0,109.1,25.8,100.0,55.2,62.8,129,2
33,89905.0,91.9,31.7,55.8,50.3,4.3,194,2
14,90322.0,101.4,25.7,74.6,81.7,17.1,116,1
21,3440.0,102.4,33.5,81.8,61.4,43.3,363,1
48,48316.0,112.2,30.7,49.9,76.4,35.6,68,1
20,95474.0,86.2,36.4,48.9,91.2,39.2,27,1
8,22350.0,104.4,29.6,67.4,93.3,80.4,334,2
7,104312.0,118.1,33.9,63.1,42.2,88.6,13,2
67,111889.0,106.5,33.1,82.9,35.0,24.9,45,2
17,147295.0,94.5,25.1,44.2,40.9,83.6,15,2
33,31476.0,101.5,26.1,98.3,80.1,45.9,208,1
48,123770.0,107.0,29.4,40.9,49.6,27.4,157,2
76,78044.0,100.6,38.2,76.1,33.9,98.5,336,2
59,56019.0,70.8,27.2,73.8,27.9,82.5,226,2
86,18357.0,79.7,35.7,48.1,46.2,99.4,240,2
22,110326.0,110.5,39.6,49.1,30.9,16.8,57,2
30,35379.0,83.6,36.9,87.6,32.5,14.4,303,1
38,55713.0,106.6,28.6,93.3,74.7,50.3,304,2
51,9381.0,88.6,38.6,57.0,21.6,63.9,344,2
54,120205.0,96.1,26.4,66.3,29.4,17.1,129,2
8,114988.0,73.4,32.0,61.3,87.5,86.0,216,2
27,110042.0,79.1,38.3,44.4,87.6,53.2,13,1
27,44917.0,117.9,34.6,80.4,46.3,41.1,358,1
98,26022.0,114.5,31.2,89.5,27.0,60.2,242,2
21,95633.0,102.6,29.4,58.3,76.4,63.5,144,2
30,74425.0,93.0,30.6,99.4,48.8,4.3,325,1
97,26738.0,103.8,32.6,44.6,23.6,100.0,102,2
28,102887.0,100.9,29.8,79.7,32.6,36.4,216,2
64,148669.0,98.4,39.5,66.9,31.0,6.2,357,2
97,112083.0,73.0,39.0,66.8,67.1,85.2,63,1
69,110998.0,101.6,38.1,67.5,91.8,99.3,157,2
61,142547.0,108.4,31.3,55.5,83.4,81.6,161,2
48,30440.0,119.7,35.4,82.9,63.7,85.2,17,1
19,84832.0,70.6,38.5,83.3,53.8,62.6,215,1
4,146947.0,106.5,37.8,56.9,69.5,92.2,318,2
35,24794.0,98.6,31.2,90.1,55.5,3.6,48,0
64,105038.0,91.7,26.7,59.0,39.7,76.7,55,2
49,87872.0,76.4,26.1,83.5,74.3,67.1,346,1
17,87972.0,90.5,33.7,47.3,89.9,5.0,57,1
44,104651.0,87.7,34.6,50.1,49.8,54.4,154,2
92,139443.0,85.1,37.7,58.9,87.3,51.5,54,1
30,117387.0,106.5,29.4,75.6,54.5,69.2,340,2
93,8420.0,105.0,27.5,78.7,52.1,7.8,18,1
46,127909.0,99.5,30.7,63.8,22.3,80.5,150,2
6,33831.0,116.9,30.3,44.7,75.6,13.9,358,2
99,56537.0,87.5,27.0,62.4,84.6,41.9,107,1
37,69260.0,82.2,35.1,81.3,73.1,88.1,46,1
24,72136.0,102.8,32.6,80.3,32.1,56.1,206,2
93,65277.0,79.9,35.8,49.6,28.3,38.0,362,2
46,140603.0,85.8,30.3,40.5,65.8,4.8,339,2
53,105903.0,81.2,29.9,85.2,52.1,67.2,127,2
95,94676.0,73.5,32.1,46.4,54.3,98.7,184,2
99,7476.0,111.4,38.2,44.9,97.4,91.2,57,2
60,135587.0,82.7,25.6,40.2,77.9,71.7,142,2
97,136409.0,93.7,37.1,66.0,52.9,10.5,96,1
63,117032.0,72.2,30.5,70.2,21.5,23.9,46,1
85,1054.0,105.0,37.8,78.3,22.7,18.7,190,2
32,8592.0,86.5,37.0,57.8,74.8,35.5,139,1
87,33784.0,107.2,30.2,82.6,87.0,23.6,102,1
33,19702.0,90.6,35.4,50.2,76.6,24.4,230,1
67,59825.0,79.8,27.4,89.9,52.5,61.7,339,2
18,138393.0,95.7,38.4,74.3,22.5,31.9,48,2
25,70809.0,76.5,31.1,75.0,97.4,67.7,111,1
95,2010.0,92.0,31.8,52.6,98.9,94.8,315,2
54,42412.0,85.9,35.6,44.4,63.9,63.8,321,1
58,6689.0,115.6,37.3,67.9,25.7,75.2,86,2
67,5443.0,73.0,28.5,76.9,63.3,75.2,281,2
46,41358.0,104.7,34.9,45.7,91.4,33.1,326,1
24,41342.0,79.1,30.9,97.0,74.4,1.5,251,0
32,118069.0,86.0,30.5,98.8,77.6,5.5,73,0
47,146225.0,90.8,35.4,72.7,26.8,28.2,46,1
86,55681.0,115.4,30.8,97.0,28.5,69.0,75,2
23,64333.0,82.1,30.2,50.8,30.2,90.7,95,2
66,126718.0,74.6,37.5,41.5,92.4,95.9,30,2
27,40221.0,85.9,26.5,42.4,62.1,2.6,21,1
2,23457.0,75.2,35.1,75.3,83.3,99.0,16,1
90,127963.0,76.4,28.7,43.7,29.2,32.2,211,2
17,6975.0,98.7,25.2,97.5,94.2,84.3,147,1
33,92955.0,73.0,27.5,48.5,85.7,18.0,234,2
9,84299.0,71.5,34.1,58.3,38.0,6.3,353,2
43,51888.0,105.7,35.6,89.4,89.9,37.8,304,1
48,47278.0,88.1,25.3,53.1,41.1,85.9,86,2
39,115779.0,76.3,25.5,54.6,36.4,22.1,37,2
93,12964.0,82.7,38.5,78.5,41.1,15.4,52,0
42,35518.0,102.1,26.1,56.6,92.8,91.0,27,2
26,109867.0,83.8,38.4,53.0,93.2,93.8,76,2
99,82248.0,94.7,28.4,55.3,46.3,1.3,199,2
50,19198.0,76.1,36.1,69.4,76.4,72.7,172,1
25,132320.0,99.4,29.6,98.0,74.1,30.9,273,2
24,59017.0,85.8,37.9,89.9,84.5,37.5,49,0
13,124180.0,101.3,35.5,57.1,43.7,46.9,344,2
60,118157.0,110.4,31.0,61.8,60.8,42.7,176,2
7,93664.0,100.6,26.1,67.9,73.4,51.5,300,2
57,74172.0,84.8,36.0,98.7,22.1,58.2,226,2
36,146933.0,82.8,34.3,50.3,50.1,46.6,126,2
45,21745.0,86.4,25.0,61.4,75.7,70.2,348,2
20,108773.0,78.2,25.1,83.8,40.2,71.9,20,2
65,28679.0,79.1,37.1,97.8,96.6,44.0,198,0
8,50739.0,109.5,28.9,49.3,22.4,14.2,188,2
16,46305.0,89.2,34.5,53.6,96.6,64.1,331,1
14,142055.0,91.8,31.8,53.5,37.3,77.3,151,2
76,145103.0,99.7,38.0,41.3,23.9,63.8,159,2
87,27452.0,99.5,38.8,76.2,43.4,58.8,346,2
15,3305.0,73.4,40.0,80.2,82.9,22.9,95,0
92,108001.0,111.6,27.3,76.2,80.2,64.5,351,2
98,62698.0,78.9,37.9,44.3,36.7,33.5,74,1
66,13326.0,106.2,29.0,44.2,35.7,92.0,81,2
32,102563.0,108.6,33.9,52.6,71.4,65.4,127,2
87,81766.0,105.7,32.6,57.4,56.6,27.8,358,2
63,147078.0,98.9,25.3,87.2,83.4,47.3,132,1
86,34111.0,70.7,39.0,49.6,21.9,84.7,138,2
51,60597.0,88.0,26.2,42.6,68.8,33.5,245,2
25,81382.0,100.2,35.3,63.6,78.5,52.5,290,2
58,118755.0,89.4,36.8,65.0,99.5,68.0,111,1
63,82326.0,113.2,36.9,67.1,74.3,75.5,202,2
62,91935.0,85.4,27.0,89.6,38.5,17.4,169,1
22,33922.0,84.7,31.7,45.9,28.7,56.5,86,1
58,127038.0,83.3,37.4,82.2,71.3,91.2,118,1
58,64295.0,86.6,29.5,60.3,61.9,96.8,97,2
86,21144.0,97.9,32.0,58.6,91.9,65.6,239,2
49,99628.0,105.4,29.1,96.0,78.1,98.4,336,2
52,32414.0,103.1,32.0,54.9,60.8,57.1,137,1
42,14634.0,110.4,38.3,78.6,52.3,44.3,81,1
