customer_id,vehicle_type,seats_needed,is_ev_preferred,distance_km,booking_hour,day_of_week,price_range,vehicle_id
96,Van,8,0,40.89,19,0,2,17
52,Van,7,0,62.71,5,4,2,15
96,Truck,8,0,144.82,3,3,1,24
4,Bike,4,1,21.43,22,6,2,38
94,EV,8,1,163.31,11,3,0,9
23,EV,2,0,145.19,12,6,0,42
15,Truck,2,0,147.27,18,5,2,28
43,Van,2,1,24.55,21,2,1,18
29,Truck,5,1,144.96,12,6,1,21
36,Truck,5,0,137.56,11,3,0,24
13,Car,5,0,167.03,19,4,2,41
32,Bike,8,0,13.11,2,2,1,30
71,EV,5,0,9.51,2,0,1,46
59,Van,4,0,77.74,13,6,2,13
86,EV,2,0,34.01,17,6,2,44
28,EV,8,1,113.88,18,1,1,4
66,Bike,2,0,183.88,9,6,2,35
42,EV,5,0,81.34,16,6,2,41
45,EV,8,0,169.77,14,0,2,47
62,Truck,7,1,5.05,18,4,1,23
57,Bike,4,1,37.86,8,5,0,37
6,Car,5,0,10.93,3,2,2,42
28,Van,5,0,68.99,14,0,1,14
28,EV,4,1,182.1,18,2,0,3
44,Van,4,0,23.91,15,3,1,16
84,Car,7,0,123.25,7,1,1,42
30,Van,5,0,93.04,16,4,1,17
62,Car,5,0,188.0,20,0,0,48
75,Truck,2,0,28.89,0,1,1,21
92,EV,8,1,46.35,6,6,0,3
89,Car,8,1,10.76,20,4,2,46
62,Van,2,0,89.62,17,4,0,14
97,EV,8,1,59.18,11,5,1,7
1,Truck,4,0,174.63,15,3,0,21
27,EV,8,0,122.96,0,5,1,43
62,Car,8,0,124.75,14,5,2,40
77,Truck,2,1,108.72,6,2,0,24
3,Van,7,0,22.91,16,2,2,17
70,Truck,8,0,91.78,2,6,0,20
72,Truck,8,1,199.9,10,1,1,26
27,Bike,7,1,167.87,5,3,0,36
9,Truck,2,1,179.22,5,4,2,26
62,Truck,7,0,165.53,14,6,0,20
37,EV,2,0,25.09,6,3,2,42
97,Van,4,0,49.35,10,3,2,11
51,EV,2,0,5.61,16,1,1,44
44,EV,4,1,64.18,22,2,0,2
24,Car,4,0,26.18,17,3,2,44
79,EV,2,0,97.19,21,3,1,44
59,Bike,5,1,137.04,23,3,1,33
32,Bike,2,0,175.53,20,0,1,36
96,Car,8,0,151.1,18,3,2,49
88,Van,8,1,188.02,7,3,0,15
52,Van,5,1,15.51,23,4,2,11
62,EV,4,1,7.38,19,5,1,4
58,EV,5,0,133.96,7,0,2,46
52,EV,8,0,61.42,20,3,2,48
12,Van,5,1,54.43,10,5,1,18
39,Truck,2,0,69.52,20,3,0,22
2,Bike,5,0,57.61,2,1,1,30
3,Truck,4,1,104.73,22,1,1,28
56,Truck,2,0,90.83,13,5,2,27
81,Van,7,1,104.92,8,0,1,16
59,Truck,8,0,136.18,0,4,2,25
2,Car,8,0,80.49,0,0,1,49
2,EV,5,0,54.0,11,0,1,46
92,Car,2,1,37.41,10,1,0,48
54,Bike,7,0,73.15,20,1,1,35
87,EV,2,0,149.65,0,4,0,49
96,Truck,8,1,152.56,19,6,1,22
97,Bike,2,1,135.05,11,6,1,32
1,EV,7,1,50.64,16,6,1,4
19,Truck,5,0,119.68,14,3,0,29
2,Car,4,0,116.28,1,4,2,49
53,EV,2,1,99.43,17,3,0,8
44,Truck,4,1,112.25,15,5,1,29
90,Car,8,0,100.9,3,5,2,48
32,Bike,5,0,115.26,7,2,1,37
70,Bike,5,1,144.52,1,6,0,39
32,Bike,2,0,26.38,13,1,0,31
68,Bike,5,1,151.18,14,2,2,33
55,Van,2,0,31.5,8,2,0,13
75,EV,2,0,17.99,1,1,1,41
56,EV,4,1,195.34,16,2,2,8
17,Van,5,0,191.61,9,6,1,12
38,Truck,2,0,16.79,8,0,2,21
24,Truck,4,0,91.43,1,3,2,26
69,Bike,7,0,41.32,23,6,1,30
98,Car,4,1,99.64,18,4,0,45
70,Truck,4,1,166.88,16,1,1,22
86,Car,2,1,190.37,10,0,0,42
11,EV,8,0,128.68,16,5,0,44
16,Car,8,0,74.01,9,4,1,42
97,EV,8,0,122.65,17,4,2,43
73,Van,4,1,65.84,22,4,1,12
59,Van,2,1,182.42,5,2,2,16
70,Bike,5,1,174.73,15,2,0,32
80,Truck,4,0,113.86,17,2,2,29
93,Bike,4,0,68.34,19,6,1,33
3,EV,2,0,62.21,17,2,2,41
20,Bike,7,0,11.52,0,0,0,31
59,Car,4,0,164.09,2,2,0,48
36,EV,7,1,92.82,14,1,2,1
19,Van,7,0,68.4,19,4,0,10
90,Truck,8,0,96.87,9,0,0,29
67,EV,2,0,164.65,20,5,2,40
19,EV,7,1,29.3,4,2,0,3
20,Car,2,0,172.24,14,5,2,41
96,Truck,8,1,180.01,22,4,2,22
71,Van,2,1,189.61,13,0,0,14
52,EV,4,0,82.51,14,4,2,48
33,EV,7,1,47.34,9,5,0,2
40,Car,2,0,77.86,23,6,0,40
39,Bike,5,0,69.92,8,0,0,35
82,Van,2,1,39.35,11,3,1,12
1,Truck,7,1,123.42,6,6,0,26
11,EV,8,0,97.94,4,0,2,45
92,EV,8,0,173.81,23,2,2,46
57,Van,7,0,11.26,9,5,2,14
89,Bike,4,0,130.55,7,4,1,30
50,EV,4,0,153.78,21,4,1,42
23,Van,8,0,153.1,19,4,2,12
31,Car,8,0,177.78,15,1,2,46
94,Bike,7,1,147.16,11,1,1,32
42,Truck,4,0,185.92,8,2,2,24
99,EV,8,0,69.87,9,3,0,43
7,Van,4,0,103.13,15,1,0,13
16,Car,8,1,7.75,9,0,2,46
90,Truck,2,0,6.36,8,6,0,20
60,Van,5,0,51.82,2,5,2,16
2,Van,2,0,24.66,18,2,1,17
1,Truck,8,1,55.74,10,6,2,22
48,Car,5,0,39.52,5,3,1,42
12,Car,5,1,10.56,5,6,0,43
69,Bike,8,1,182.31,14,0,0,35
37,EV,8,1,6.6,14,4,0,7
32,Truck,4,1,148.54,12,1,2,20
9,Truck,8,0,34.67,21,0,1,23
99,Truck,7,0,182.88,4,3,1,26
19,Car,8,1,179.1,13,2,0,41
48,EV,7,0,132.51,20,6,0,40
80,Bike,8,0,136.09,1,0,1,30
3,Van,4,1,6.04,22,2,2,19
20,Van,7,0,197.05,11,4,0,15
24,Truck,2,0,176.18,19,3,2,24
54,EV,7,0,179.55,13,3,0,40
33,Car,4,0,133.55,18,6,0,49
24,EV,7,1,72.23,23,1,2,3
75,EV,8,0,179.26,19,5,2,46
72,Car,8,0,61.85,14,3,2,48
36,Truck,4,0,114.73,19,0,2,28
38,EV,5,1,24.45,23,0,1,6
84,Van,8,1,184.78,16,0,1,12
99,Car,2,0,32.45,13,4,0,40
89,Bike,4,1,48.85,22,3,0,32
99,Truck,7,0,113.84,17,3,0,29
25,Car,7,1,154.0,21,0,1,41
93,Bike,2,0,125.77,23,6,2,34
18,Bike,8,1,50.27,4,1,0,37
82,EV,4,0,5.18,21,6,1,44
66,EV,2,0,152.64,11,1,0,40
54,EV,8,0,197.12,9,3,1,42
35,Car,4,1,162.93,7,6,2,44
80,Car,7,0,94.74,5,3,1,46
61,Truck,4,1,181.23,14,2,2,24
41,EV,5,0,84.92,11,3,0,49
33,Bike,4,0,107.36,5,6,2,34
68,Van,5,0,98.04,11,0,1,16
33,Truck,4,1,92.29,14,5,0,27
14,Car,5,0,156.16,11,4,0,47
21,Truck,7,1,107.72,8,3,1,26
48,Truck,8,1,66.76,18,3,2,22
20,Truck,5,1,55.34,20,0,1,21
8,Truck,5,0,12.36,1,2,2,20
7,Van,7,1,118.72,12,5,2,15
67,EV,5,1,49.84,12,3,0,9
17,Bike,2,0,33.89,7,1,2,32
33,Truck,7,1,132.5,12,1,0,24
48,Truck,2,0,137.84,3,1,1,28
76,Truck,7,0,151.67,5,4,1,28
59,EV,5,0,103.2,5,4,0,46
86,Car,2,0,179.34,20,5,0,43
22,Car,5,0,187.59,11,3,2,41
30,Van,7,0,162.44,11,3,0,11
38,Car,5,1,128.94,16,3,1,43
51,Truck,2,0,64.23,6,4,0,20
54,Truck,2,0,196.67,14,5,0,23
8,Truck,5,0,58.46,23,3,0,25
27,Van,4,0,44.52,16,0,2,15
27,Truck,7,1,91.22,9,2,0,26
98,Car,7,0,16.08,22,6,2,44
21,EV,5,1,195.81,19,1,2,9
30,EV,4,0,119.74,5,1,0,41
97,Bike,2,1,113.61,8,0,2,31
28,Car,8,0,132.88,14,3,0,43
64,Truck,8,0,101.92,15,5,1,23
97,EV,5,1,11.25,20,5,1,4
69,Car,4,0,124.4,7,4,2,40
61,EV,4,1,144.65,15,3,1,4
48,Truck,7,1,86.27,4,5,0,24
19,EV,2,0,152.67,17,3,2,48
4,Bike,4,0,49.27,19,1,0,32
35,Bike,8,0,48.15,13,6,2,32
64,EV,2,1,36.48,1,6,2,5
49,Car,2,1,77.54,22,6,2,49
17,Car,5,0,170.17,22,1,2,45
44,Car,4,0,166.44,2,4,1,42
92,EV,5,0,79.65,13,6,1,40
30,Car,4,1,119.88,6,1,1,49
93,Truck,7,0,145.56,14,3,2,27
46,Bike,5,0,52.04,16,6,1,30
6,Truck,5,1,37.79,0,0,2,21
99,Car,8,0,194.56,8,4,1,42
37,Truck,5,0,125.42,21,0,2,25
24,Car,4,1,196.38,13,3,1,43
93,EV,8,1,70.86,15,4,1,4
46,Truck,5,0,142.09,20,0,1,28
53,EV,5,0,48.41,12,4,2,45
95,EV,7,0,55.93,5,3,2,41
99,Van,5,0,104.82,21,5,1,16
60,Car,2,1,67.33,0,6,2,42
97,Bike,8,0,37.69,20,4,0,38
63,Car,2,1,56.26,3,6,1,45
85,Bike,8,1,11.97,2,6,1,37
32,Car,7,0,142.36,16,5,0,40
87,EV,5,0,100.96,1,3,2,41
33,Truck,5,0,23.38,18,4,2,25
67,Truck,5,1,38.48,19,4,2,22
18,Van,8,1,24.99,22,5,1,10
25,Bike,5,0,124.46,21,1,1,35
95,Bike,2,1,23.37,7,5,1,34
54,Bike,5,0,152.09,14,5,1,38
58,EV,7,1,9.0,5,5,1,6
67,Bike,2,0,53.63,22,3,2,34
46,Truck,5,0,178.68,19,2,0,20
24,EV,5,1,145.11,1,5,2,1
32,Car,4,0,19.23,14,4,2,40
47,Bike,8,0,165.12,19,0,1,36
86,Bike,2,0,101.14,11,1,0,35
23,Car,4,0,170.12,2,5,0,44
66,Bike,7,0,122.14,9,5,2,33
27,Car,8,1,137.96,13,1,0,47
2,EV,2,0,198.73,21,5,2,47
90,Truck,5,0,50.31,13,4,2,24
17,Car,2,1,126.67,2,2,2,43
33,Van,5,0,94.76,0,5,2,11
9,Car,8,0,12.69,19,1,1,46
43,Bike,5,1,7.82,0,5,0,34
48,EV,7,1,28.25,1,3,1,3
39,EV,5,1,131.57,18,4,1,9
93,Car,7,1,115.6,23,4,1,48
42,Truck,8,0,112.92,9,2,2,29
26,Van,8,1,11.21,3,3,2,17
99,EV,2,0,96.51,3,3,1,40
50,Bike,7,1,185.3,12,2,1,32
25,Bike,7,0,82.53,8,6,0,31
24,Truck,4,1,126.86,6,6,1,23
13,EV,4,1,157.06,15,0,2,2
60,Car,4,1,157.87,17,6,1,47
7,Bike,5,0,106.26,2,5,0,30
57,Truck,4,0,172.3,19,3,0,23
36,EV,7,1,81.32,19,0,1,5
45,EV,5,1,178.3,9,0,0,4
20,EV,8,0,51.84,23,4,0,47
65,EV,2,1,59.64,21,5,2,2
8,EV,4,1,15.36,15,4,0,9
16,Bike,8,0,160.14,2,1,0,31
14,Truck,7,1,86.33,10,6,1,21
76,EV,2,0,49.68,9,4,2,41
87,Van,8,0,50.2,15,3,0,19
15,Van,2,0,180.77,7,3,1,17
92,Truck,4,0,167.61,8,5,1,22
98,Car,7,1,112.94,14,0,1,49
66,Car,2,0,125.14,20,3,1,49
32,Car,8,1,97.49,2,6,1,47
87,Van,4,1,81.37,3,4,1,16
63,Car,4,1,183.52,12,6,0,49
86,Bike,8,0,29.49,11,4,2,33
51,EV,8,1,86.6,20,5,2,7
25,Van,2,0,72.19,8,6,1,17
58,Truck,5,0,102.14,13,4,1,25
63,Truck,4,0,94.24,18,6,2,25
62,EV,2,0,106.18,6,2,0,42
22,Van,8,1,32.28,15,5,1,14
58,Car,2,0,105.06,21,5,2,49
58,Car,8,1,52.27,19,3,2,41
86,Bike,7,0,40.94,4,5,1,34
49,Bike,8,0,17.64,9,1,2,34
52,Car,8,1,153.72,17,3,0,46
42,Truck,8,1,88.35,10,3,2,23
70,Truck,5,0,127.2,6,6,1,25
15,Bike,8,0,146.88,13,2,1,38
54,EV,4,0,137.47,19,3,2,43
60,Car,4,0,96.75,17,0,2,45
97,Bike,2,1,80.64,10,4,1,38
8,Bike,5,1,78.31,21,4,0,39
53,Car,2,0,129.81,11,5,2,40
60,Car,4,1,101.48,17,6,0,47
5,Truck,4,0,170.58,1,2,0,20
68,EV,7,0,175.57,22,4,1,43
6,EV,8,0,38.26,0,0,1,42
96,Car,4,1,31.57,22,2,1,43
94,Van,2,0,127.93,9,1,0,16
47,Bike,2,0,63.74,20,4,1,38
99,Bike,8,0,8.62,0,3,1,38
55,Car,8,0,178.29,5,0,0,49
40,Van,7,1,49.25,6,6,0,10
52,Truck,5,0,186.21,16,6,0,29
16,Car,2,0,144.9,8,0,0,40
13,Car,8,1,153.72,6,4,2,48
30,Bike,2,1,44.28,16,5,1,33
19,Car,8,1,50.67,2,1,2,42
17,Car,4,0,106.65,15,3,0,48
63,Car,2,0,38.56,4,1,0,44
19,Bike,4,0,64.56,19,1,0,35
92,Truck,2,0,67.69,17,4,0,20
58,Truck,5,1,36.13,0,3,0,20
55,Car,7,0,45.01,3,4,1,46
90,Bike,4,0,158.77,22,4,2,39
90,Truck,8,0,37.6,10,5,2,27
62,Truck,5,0,10.55,19,0,1,27
23,Truck,2,1,127.72,8,6,1,26
9,Bike,4,0,195.32,7,5,1,38
12,Bike,2,0,69.59,7,6,2,30
1,Car,2,0,28.14,4,5,2,41
58,EV,2,0,116.23,11,4,0,42
1,Truck,7,0,181.74,0,5,2,24
34,EV,7,1,157.89,14,6,2,4
96,Bike,8,0,126.39,17,5,1,33
48,Bike,4,1,66.44,5,2,2,37
89,Bike,5,1,110.67,9,3,0,37
1,EV,5,1,22.79,13,0,2,7
16,Bike,5,1,137.39,20,6,1,30
61,Car,2,0,146.39,7,3,1,49
64,Bike,7,0,193.18,2,0,0,33
63,Van,4,0,55.78,21,2,0,10
69,EV,2,1,8.6,21,4,2,5
22,Van,7,1,111.39,18,6,0,12
93,Bike,7,1,142.82,11,0,0,32
67,Car,4,0,159.13,11,0,1,43
76,Truck,4,1,42.78,14,0,1,21
26,Bike,4,0,56.04,6,2,2,36
16,Car,2,0,104.96,3,3,2,43
51,EV,8,0,69.47,20,2,2,44
86,Van,4,0,172.8,8,0,2,11
57,Van,8,0,97.38,21,5,1,15
29,Van,2,0,160.92,15,0,2,18
78,EV,8,0,118.22,12,5,2,47
92,Car,5,1,155.75,3,4,0,47
69,EV,8,1,69.87,23,2,2,2
47,Van,4,1,167.13,8,5,0,13
94,Bike,2,0,58.54,20,2,1,37
62,Truck,4,1,111.49,17,1,2,20
69,EV,5,1,46.73,14,3,0,8
76,EV,4,0,97.73,14,1,2,42
16,Car,4,0,67.04,5,5,0,47
90,Car,4,0,57.01,10,1,2,45
90,EV,7,0,193.56,7,6,1,46
48,Van,5,1,36.21,20,3,1,11
85,Truck,4,1,158.53,16,5,0,20
39,Car,4,0,196.91,23,4,0,45
33,Van,4,1,8.88,16,4,1,12
94,Bike,2,1,141.31,23,3,2,33
23,Car,7,1,54.32,17,3,0,48
10,Van,2,0,12.9,3,5,1,12
69,Van,7,1,83.56,14,2,0,11
34,Truck,4,0,187.37,1,6,1,21
52,Truck,5,0,7.29,1,5,1,21
95,Bike,8,0,119.64,9,2,0,35
10,Van,8,0,102.77,2,2,0,11
19,Van,4,1,175.31,7,2,1,16
58,Truck,2,0,21.38,19,5,2,26
96,Car,5,0,137.9,6,0,1,46
1,Car,7,0,137.62,11,0,2,41
69,EV,4,1,135.47,18,4,2,7
4,Truck,5,0,188.76,14,0,2,29
16,EV,5,1,165.5,13,0,0,8
24,Truck,7,0,13.18,15,2,1,27
80,Bike,5,0,96.86,13,2,1,31
2,Van,2,0,82.6,2,3,2,14
92,Bike,2,0,65.48,17,2,2,35
32,Truck,2,0,93.01,21,5,2,28
91,Van,5,0,79.92,5,3,1,15
84,Car,2,1,89.31,16,6,2,49
24,Car,7,1,195.96,22,3,1,45
12,EV,5,0,22.28,13,0,1,49
50,Truck,8,0,184.84,13,2,0,29
35,Truck,5,1,98.65,19,0,2,25
33,Car,7,0,126.63,12,2,2,48
33,Bike,8,0,166.89,2,0,2,39
61,Van,5,1,75.29,12,6,0,16
51,Bike,2,1,88.93,23,0,2,30
43,Bike,4,0,84.86,1,0,1,30
12,Car,4,0,78.07,8,5,2,43
67,Car,2,0,185.48,12,6,1,41
65,Car,4,1,166.64,7,4,1,42
33,EV,4,0,26.25,15,6,1,46
40,Bike,2,0,26.08,23,0,1,36
74,Truck,2,0,88.43,2,1,2,22
43,Van,5,0,24.24,12,1,0,11
44,EV,5,1,125.72,3,1,0,1
29,Truck,2,1,33.02,17,5,1,28
13,Bike,7,1,106.86,1,3,2,39
12,Car,4,0,6.41,19,0,0,42
95,Bike,5,0,66.74,21,6,2,38
46,Van,4,0,137.05,20,1,0,13
2,EV,8,0,99.39,14,5,1,49
35,EV,2,1,195.76,16,3,1,6
87,Van,7,0,175.45,9,1,1,16
81,Truck,8,0,75.02,0,2,0,29
90,Truck,8,0,13.87,5,4,2,25
8,EV,8,1,169.9,2,0,1,1
93,EV,2,0,182.69,18,4,2,45
26,Car,5,0,165.02,6,4,2,45
74,Truck,2,0,29.95,12,2,1,24
90,Van,5,1,199.59,12,2,0,12
34,Truck,8,0,55.42,16,2,1,29
7,Car,8,1,146.22,0,3,1,42
68,EV,7,1,182.07,13,1,0,7
58,EV,5,0,50.96,2,6,2,47
75,Car,8,1,182.11,13,0,0,42
29,Van,4,0,65.35,23,2,0,12
36,EV,7,1,195.4,0,5,1,7
89,Bike,2,0,59.85,15,0,0,39
21,EV,7,0,190.92,9,6,0,46
36,Bike,4,0,15.44,12,0,0,38
10,Car,5,0,143.31,3,0,2,45
73,Car,2,1,108.76,8,2,2,46
24,EV,2,0,98.19,13,2,1,49
64,Truck,5,1,48.58,3,1,1,20
99,Bike,7,0,142.59,9,6,2,36
49,Van,8,1,42.21,7,2,0,11
99,EV,7,0,112.8,22,2,1,46
36,Van,4,0,54.38,2,0,1,12
82,EV,8,0,191.35,22,1,0,48
96,Truck,7,1,10.58,6,4,0,24
24,Truck,5,0,43.95,9,2,0,26
23,Truck,4,0,52.25,2,5,0,27
62,Truck,4,0,85.74,1,2,0,21
96,Car,4,1,50.38,14,4,2,40
37,Car,8,0,100.81,8,0,0,46
12,Bike,2,0,175.13,14,6,1,35
55,Van,8,0,143.85,16,1,2,15
13,EV,7,1,118.09,6,0,1,2
23,EV,2,1,22.36,19,6,0,3
89,Car,7,0,140.33,17,3,1,43
99,EV,2,0,37.45,14,2,0,42
30,Car,8,0,158.34,17,6,1,41
17,Bike,4,0,53.76,23,5,1,32
62,Van,5,0,86.32,22,6,0,15
84,Bike,4,1,73.34,11,3,1,38
89,Truck,8,0,172.47,22,2,2,23
86,Truck,2,1,29.68,20,3,1,25
13,Truck,4,0,115.3,7,4,2,20
59,Bike,8,1,32.7,1,2,2,35
19,EV,7,0,142.44,1,5,1,42
49,Van,5,0,181.49,4,2,2,18
12,Truck,4,0,89.75,0,3,2,23
61,Truck,2,0,100.18,21,1,1,26
19,Truck,7,0,185.85,3,3,0,23
76,Van,8,1,106.59,5,2,0,15
9,Truck,5,1,100.08,22,2,2,26
71,Van,2,0,117.77,12,6,2,11
28,Truck,8,0,139.4,18,1,0,29
78,Bike,8,0,25.84,10,0,2,35
95,Bike,4,0,165.12,12,1,0,37
52,Van,4,0,89.92,7,0,1,15
83,Bike,2,1,19.11,6,5,2,31
16,Van,8,1,158.31,12,2,1,13
69,Bike,4,1,78.51,0,6,0,30
99,Bike,5,0,24.57,5,4,0,36
12,Van,5,1,128.59,6,4,1,17
25,EV,8,1,176.63,15,3,2,2
52,Bike,4,0,178.11,14,1,1,39
85,Truck,2,0,191.74,19,1,1,24
53,EV,2,1,174.2,1,4,2,8
23,Van,2,0,5.42,22,0,0,17
16,EV,5,0,79.15,15,1,1,44
57,Car,4,0,164.62,16,0,1,47
39,Car,4,0,76.42,23,0,0,45
53,Bike,5,0,122.3,14,0,1,34
42,Bike,2,1,123.23,2,0,0,33
58,Truck,2,1,76.18,3,6,2,24
39,EV,8,1,181.37,11,3,0,4
14,Car,7,0,103.13,4,3,0,40
95,Bike,4,1,95.63,16,6,1,32
5,EV,4,0,199.52,5,4,0,47
35,Bike,4,0,101.23,9,3,0,36
87,Bike,7,0,39.79,21,5,1,36
93,Car,8,0,105.05,17,6,0,42
75,Car,7,0,163.73,9,1,1,48
18,Bike,2,0,156.49,5,5,2,35
